moordemo - Sheet1
kind,capacity,lat,lng
Converted Parking Meter,2,39.9493633,-75.151476
Converted Parking Meter,2,39.9493715,-75.151542
Converted Parking Meter,2,39.9493797,-75.151609
Staple or Inverted-U,2,39.9493955,-75.151739
Staple or Inverted-U,2,39.9494071,-75.151833
Converted Parking Meter,2,39.9494297,-75.152017
Staple or Inverted-U,2,39.9494424,-75.152121
Staple or Inverted-U,2,39.9493451,-75.151951
Staple or Inverted-U,2,39.9493638,-75.152103
Staple or Inverted-U,2,39.94933,-75.151829
Staple or Inverted-U,2,39.9492219,-75.150952
Staple or Inverted-U,2,39.9492395,-75.151094
Converted Parking Meter,2,39.9476272,-75.150636
Converted Parking Meter,2,39.9475926,-75.150357
Converted Parking Meter,2,39.9475685,-75.150162
Converted Parking Meter,2,39.9475445,-75.149969
Converted Parking Meter,2,39.9475211,-75.14978
Converted Parking Meter,2,39.9474253,-75.148988
Converted Parking Meter,2,39.9473945,-75.148725
Converted Parking Meter,2,39.9473375,-75.148267
Converted Parking Meter,2,39.9472212,-75.147337
Converted Parking Meter,2,39.947162,-75.146899
Converted Parking Meter,2,39.9470043,-75.145747
Converted Parking Meter,2,39.94698,-75.145567
Staple or Inverted-U,2,39.946885,-75.145451
Staple or Inverted-U,2,39.9468908,-75.145415
Staple or Inverted-U,2,39.9467898,-75.145358
Staple or Inverted-U,2,39.9467813,-75.145393
Staple or Inverted-U,2,39.946653,-75.144987
Converted Parking Meter,2,39.9466589,-75.145283
Staple or Inverted-U,2,39.9467997,-75.144218
Converted Parking Meter,2,39.9477809,-75.144217
Converted Parking Meter,2,39.9475989,-75.144257
Converted Parking Meter,2,39.9475137,-75.144276
Converted Parking Meter,2,39.9474167,-75.144298
Converted Parking Meter,2,39.9480409,-75.142566
Converted Parking Meter,2,39.9479,-75.142597
Converted Parking Meter,2,39.9471604,-75.142764
Converted Parking Meter,2,39.9467973,-75.142845
Staple or Inverted-U,2,39.9473018,-75.143039
Staple or Inverted-U,2,39.947328,-75.14324
Converted Parking Meter,2,39.9467639,-75.143945
Converted Parking Meter,2,39.9466822,-75.143322
Converted Parking Meter,2,39.9463338,-75.142947
Converted Parking Meter,2,39.9458757,-75.143048
Converted Parking Meter,2,39.9454881,-75.143134
Converted Parking Meter,2,39.944421,-75.143788
Converted Parking Meter,2,39.9444027,-75.143647
Converted Parking Meter,2,39.9443472,-75.143201
Converted Parking Meter,2,39.944253,-75.143235
Staple or Inverted-U,2,39.9401628,-75.144411
Staple or Inverted-U,2,39.9407123,-75.145073
Staple or Inverted-U,2,39.9411251,-75.144848
Staple or Inverted-U,2,39.9410334,-75.144718
Staple or Inverted-U,2,39.9409881,-75.144357
Staple or Inverted-U,2,39.9410874,-75.144544
